,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
927,293,0,0,1,185,1
928,293,0,0,0,148,0
929,293,0,0,0,198,0
930,292,0,1,0,152,-1
931,291,1,0,0,196,-1
932,293,0,0,2,217,2
933,293,0,1,1,149,0
934,294,0,0,1,177,1
935,297,0,0,3,153,3
936,297,0,0,0,154,0
937,295,1,1,0,168,-2
938,295,0,0,0,191,0
939,295,0,0,0,182,0
940,296,0,0,1,176,1
941,297,1,0,2,164,1
942,296,0,1,0,241,-1
943,297,0,0,1,211,1
944,297,0,0,0,158,0
945,299,0,0,2,133,2
946,299,0,0,0,249,0
947,299,0,0,0,210,0
948,299,1,0,1,175,0
949,299,0,0,0,120,0
950,300,0,0,1,252,1
951,300,0,0,0,182,0
952,299,0,1,0,174,-1
953,299,0,1,1,142,0
954,299,0,0,0,249,0
955,301,0,0,2,214,2
956,300,1,0,0,155,-1
957,302,0,0,2,130,2
958,302,0,0,0,167,0
959,302,0,0,0,206,0
960,303,0,0,1,212,1
961,304,0,0,1,212,1
962,306,0,1,3,171,2
963,306,0,0,0,136,0
964,305,1,0,0,152,-1
965,305,0,0,0,243,0
966,304,0,1,0,223,-1
967,305,0,0,1,169,1
968,305,1,0,1,140,0
969,305,0,1,1,164,0
970,304,0,1,0,184,-1
971,302,2,0,0,185,-2
972,302,0,0,0,188,0
973,301,1,0,0,185,-1
974,301,0,0,0,231,0
975,301,0,1,1,227,0
976,301,0,0,0,158,0
977,301,0,0,0,181,0
978,300,0,1,0,148,-1
979,299,0,1,0,163,-1
980,300,0,0,1,152,1
981,300,0,0,0,243,0
982,299,1,2,2,213,-1
983,299,0,1,1,153,0
984,299,0,0,0,179,0
985,301,0,0,2,233,2
986,303,0,0,2,172,2
987,303,0,0,0,181,0
988,304,0,0,1,143,1
989,305,0,0,1,197,1
990,306,0,0,1,235,1
991,305,1,0,0,158,-1
992,304,0,1,0,175,-1
993,305,0,0,1,193,1
994,305,0,0,0,185,0
995,305,0,0,0,144,0
996,304,0,1,0,155,-1
997,304,0,0,0,228,0
998,304,0,0,0,177,0
999,306,0,0,2,168,2
1000,306,0,0,0,246,0
1001,306,0,0,0,218,0
1002,308,0,0,2,159,2
1003,308,0,0,0,182,0
1004,307,1,0,0,143,-1
1005,308,0,0,1,208,1
1006,308,0,0,0,214,0
1007,307,0,1,0,158,-1
1008,308,0,0,1,176,1
1009,309,1,0,2,132,1
1010,309,0,0,0,155,0
1011,309,0,0,0,171,0
1012,308,1,0,0,185,-1
1013,308,0,0,0,231,0
1014,307,1,0,0,212,-1
1015,309,0,0,2,153,2
1016,308,1,0,0,188,-1
1017,308,0,0,0,240,0
1018,309,0,0,1,175,1
1019,310,0,0,1,137,1
1020,310,0,0,0,262,0
1021,311,0,0,1,179,1
1022,311,0,0,0,160,0
1023,311,0,1,1,133,0
1024,311,1,0,1,206,0
1025,308,1,2,0,157,-3
1026,310,0,0,2,237,2
1027,310,0,0,0,179,0
1028,312,0,0,2,180,2
1029,312,0,0,0,243,0
1030,310,0,2,0,164,-2
1031,309,0,1,0,134,-1
1032,308,0,1,0,137,-1
1033,311,0,0,3,220,3
1034,312,0,0,1,195,1
1035,312,0,0,0,219,0
1036,312,0,1,1,178,0
1037,312,0,0,0,188,0
1038,311,1,0,0,232,-1
1039,311,0,0,0,177,0
1040,312,0,0,1,170,1
1041,311,1,0,0,241,-1
1042,312,0,0,1,185,1
1043,314,0,0,2,134,2
1044,314,1,1,2,151,0
1045,314,0,0,0,169,0
1046,314,0,0,0,240,0
1047,314,1,0,1,219,0
1048,315,0,0,1,150,1
1049,315,0,0,0,187,0
1050,315,1,0,1,241,0
1051,317,0,0,2,174,2
1052,318,0,0,1,134,1
1053,319,0,0,1,258,1
1054,317,1,1,0,176,-2
1055,318,0,0,1,173,1
1056,318,1,0,1,242,0
1057,318,0,0,0,229,0
1058,318,0,0,0,152,0
1059,318,0,0,0,140,0
1060,318,0,0,0,219,0
1061,318,0,0,0,166,0
